episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
1,-65.1000000000001,303,0.6184860506246193,0,50,0.07,0.03,0.0,303,0.013201320132013201,4.809523809523809
2,-4.699999999999804,95,0.5113653903604884,0,50,0.07,0.03,0.0,95,0.021052631578947368,1.507936507936508
3,38.8499999999992,164,0.3682477503578746,0,50,0.07,0.03,0.0,164,0.0,2.6031746031746033
4,373.14999999999975,117,0.2913489337362468,1,50,0.07,0.03,0.25,118,0.00847457627118644,1.873015873015873
5,-207.29999999999941,267,0.17071353550645915,0,50,0.07,0.03,0.2,267,0.003745318352059925,19.071428571428573
6,-400.000000000004,1000,0.05,0,50,0.07,0.03,0.16666666666666666,1001,0.028971028971028972,71.5
7,44.45000000000039,212,0.05,0,50,0.07,0.03,0.14285714285714285,212,0.0047169811320754715,3.212121212121212
8,-92.25,26,0.05,0,50,0.07,0.03,0.125,26,0.0,0.3939393939393939
9,-189.94999999999996,60,0.05,0,50,0.07,0.03,0.1111111111111111,60,0.0,4.285714285714286
10,41.299999999998505,415,0.05,0,50,0.07,0.03,0.1,415,0.0,6.287878787878788
11,-77.99999999999928,1000,0.05,0,50,0.07,0.03,0.09090909090909091,1001,0.006993006993006993,15.88888888888889
12,-52.39999999999968,129,0.05,0,50,0.07,0.03,0.08333333333333333,129,0.0,2.0476190476190474
13,225.35,33,0.05,1,50,0.07,0.03,0.15384615384615385,34,0.0,3.7777777777777777
14,-262.0000000000099,1000,0.05,0,50,0.07,0.03,0.14285714285714285,1001,0.022977022977022976,111.22222222222223
15,-81.80000000000007,357,0.05,0,50,0.07,0.03,0.13333333333333333,357,0.0,25.5
16,-67.99999999999979,1000,0.05,0,50,0.07,0.03,0.125,1001,0.005994005994005994,15.88888888888889
17,-64.89999999999998,19,0.05,0,50,0.07,0.03,0.11764705882352941,19,0.0,1.3571428571428572
18,302.45000000000175,731,0.05,1,50,0.07,0.03,0.16666666666666666,732,0.006830601092896175,11.619047619047619
19,228.1499999999999,537,0.05,1,50,0.07,0.03,0.21052631578947367,538,0.0037174721189591076,21.52
20,369.0000000000001,180,0.05,1,50,0.07,0.03,0.25,181,0.011049723756906077,2.742424242424242
21,-1033.3499999999922,928,0.05,0,50,0.07,0.03,0.23809523809523808,928,0.09267241379310345,103.11111111111111
22,-71.99999999999913,1000,0.05,0,50,0.07,0.03,0.22727272727272727,1001,0.006993006993006993,15.88888888888889
23,-104.65,34,0.05,0,50,0.07,0.03,0.21739130434782608,34,0.0,1.36
24,-1073.9999999999966,1000,0.05,0,50,0.07,0.03,0.20833333333333334,1001,0.0999000999000999,111.22222222222223
25,-4354.000000000075,1000,0.05,0,50,0.07,0.03,0.2,1001,0.43956043956043955,15.166666666666666
26,-3884.0000000000605,1000,0.05,0,50,0.07,0.03,0.19230769230769232,1001,0.3926073926073926,15.166666666666666
27,-79.75,16,0.05,0,50,0.07,0.03,0.18518518518518517,16,0.0,0.5714285714285714
28,-83.99999999999893,1000,0.05,0,50,0.07,0.03,0.17857142857142858,1001,0.006993006993006993,40.04
29,-1058.000000000003,1000,0.05,0,50,0.07,0.03,0.1724137931034483,1001,0.0989010989010989,111.22222222222223
30,-3276.0000000000314,1000,0.05,0,50,0.07,0.03,0.16666666666666666,1001,0.3276723276723277,35.75
31,-218.00000000000188,1000,0.05,0,50,0.07,0.03,0.16129032258064516,1001,0.011988011988011988,125.125
32,-119.99999999999805,1000,0.05,0,50,0.07,0.03,0.15625,1001,0.00999000999000999,45.5
33,-128.85,38,0.05,0,50,0.07,0.03,0.15151515151515152,38,0.0,7.6
34,-33.14999999999962,164,0.05,0,50,0.07,0.03,0.14705882352941177,164,0.018292682926829267,3.727272727272727
35,-142.49999999999983,291,0.05,0,50,0.07,0.03,0.14285714285714285,291,0.003436426116838488,19.4
36,-96.5999999999994,293,0.05,0,50,0.07,0.03,0.1388888888888889,293,0.0,8.878787878787879
37,-129.99999999999827,1000,0.05,0,50,0.07,0.03,0.13513513513513514,1001,0.01098901098901099,45.5
38,-217.49999999999977,191,0.05,0,50,0.07,0.03,0.13157894736842105,191,0.14136125654450263,2.893939393939394
39,-111.9999999999989,1000,0.05,0,50,0.07,0.03,0.1282051282051282,1001,0.01098901098901099,19.25
40,-149.99999999999912,1000,0.05,0,50,0.07,0.03,0.125,1001,0.006993006993006993,71.5
41,-165.79999999999978,117,0.05,0,50,0.07,0.03,0.12195121951219512,117,0.02564102564102564,7.8
42,-979.9999999999724,1000,0.05,0,50,0.07,0.03,0.11904761904761904,1001,0.0899100899100899,125.125
43,-95.99999999999783,1000,0.05,0,50,0.07,0.03,0.11627906976744186,1001,0.006993006993006993,45.5
44,-160.84999999999997,118,0.05,0,50,0.07,0.03,0.11363636363636363,118,0.00847457627118644,4.72
45,-95.99999999999936,1000,0.05,0,50,0.07,0.03,0.1111111111111111,1001,0.006993006993006993,40.04
46,-109.65,14,0.05,0,50,0.07,0.03,0.10869565217391304,14,0.0,0.56
47,-101.99999999999756,1000,0.05,0,50,0.07,0.03,0.10638297872340426,1001,0.003996003996003996,40.04
48,-123.84999999999988,178,0.05,0,50,0.07,0.03,0.10416666666666667,178,0.0,7.12
49,-257.8500000000033,578,0.05,0,50,0.07,0.03,0.10204081632653061,578,0.031141868512110725,14.820512820512821
50,-267.8000000000022,357,0.05,0,50,0.07,0.03,0.1,357,0.05042016806722689,14.28
51,-206.34999999999948,228,0.05,0,50,0.07,0.03,0.09803921568627451,228,0.021929824561403508,25.333333333333332
52,-45.49999999999973,111,0.05,0,50,0.07,0.03,0.09615384615384616,111,0.0,2.522727272727273
53,-19.599999999997806,793,0.05,0,50,0.07,0.03,0.09433962264150944,793,0.0037831021437578815,12.015151515151516
54,-105.8000000000002,717,0.05,0,50,0.07,0.03,0.09259259259259259,717,0.0,28.68
55,-120.65000000000015,354,0.05,0,50,0.07,0.03,0.09090909090909091,354,0.0,10.727272727272727
