x,y
16,23
16,24
15,24
15,25
15,26
14,26
14,27
14,28
14,29
14,30
14,31
14,32
14,33
13,33
12,33
12,34
12,35
12,36
12,37
11,37
11,38
10,38
10,39
9,39
9,40
8,40
7,40
8,40
7,40
6,40
5,40
5,41
4,41
3,41
2,41
1,41
2,41
1,41
2,41
1,41
2,41
1,41
2,41
1,41
2,41
1,41
2,41
1,41
2,41
1,41
2,41
1,41
2,41
1,41
2,41
1,41
2,41
1,41
2,41
1,41
1,42
1,43
1,44
1,45
1,46
1,47
2,47
1,47
2,47
1,47
1,48
1,49
0,49
1,49
0,49
1,49
0,49
1,49
0,49
1,49
0,49
1,49
0,49
1,49
0,49
