episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
1,-111.65,54,1.0,0,50,0.07,0.03,0.0,54,0.0,7.714285714285714
2,-115.75000000000001,136,0.7754945383201266,0,50,0.07,0.03,0.0,136,0.0,19.428571428571427
3,-142.90000000000003,139,0.5871160899971342,0,50,0.07,0.03,0.0,139,0.0,19.857142857142858
4,-195.9999999999999,161,0.4253448019071833,0,50,0.07,0.03,0.0,161,0.043478260869565216,23.0
5,219.85,23,0.4062034234814181,1,50,0.07,0.03,0.2,24,0.0,3.4285714285714284
6,179.95000000000033,421,0.17486442385188877,1,50,0.07,0.03,0.3333333333333333,422,0.004739336492890996,60.285714285714285
7,218.45,51,0.15789161499998114,1,50,0.07,0.03,0.42857142857142855,52,0.0,7.428571428571429
8,-55.49999999999997,31,0.14839041412926815,0,50,0.07,0.03,0.375,31,0.06451612903225806,0.7380952380952381
9,220.64999999999998,7,0.14632537165992823,1,50,0.07,0.03,0.4444444444444444,8,0.0,1.1428571428571428
10,226.10000000000034,198,0.09843891330910483,1,50,0.07,0.03,0.5,199,0.04522613065326633,4.738095238095238
11,178.50000000000028,150,0.0729034370774311,1,50,0.07,0.03,0.5454545454545454,151,0.09271523178807947,3.5952380952380953
12,182.05000000000007,379,0.05,1,50,0.07,0.03,0.5833333333333334,380,0.005263157894736842,54.285714285714285
13,6.000000000000739,281,0.05,0,50,0.07,0.03,0.5384615384615384,281,0.0,6.108695652173913
14,-29.399999999999963,29,0.05,0,50,0.07,0.03,0.5,29,0.0,0.6904761904761905
15,201.60000000000028,328,0.05,1,50,0.07,0.03,0.5333333333333333,329,0.0182370820668693,12.653846153846153
16,-100,1,0.05,0,50,0.07,0.03,0.5,1,0.0,0.022222222222222223
17,252.90000000000023,102,0.05,1,50,0.07,0.03,0.5294117647058824,103,0.019417475728155338,3.9615384615384617
18,215.95,101,0.05,1,50,0.07,0.03,0.5555555555555556,102,0.0,14.571428571428571
19,218.95,41,0.05,1,50,0.07,0.03,0.5789473684210527,42,0.0,6.0
20,-63.89999999999925,279,0.05,0,50,0.07,0.03,0.55,279,0.0035842293906810036,6.642857142857143
21,-86.60000000000001,13,0.05,0,50,0.07,0.03,0.5238095238095238,13,0.07692307692307693,0.5
22,322.3000000000002,74,0.05,1,50,0.07,0.03,0.5454545454545454,75,0.0,1.7857142857142858
23,76.0000000000028,1000,0.05,0,50,0.07,0.03,0.5217391304347826,1001,0.0,21.76086956521739
24,50.00000000000272,1000,0.05,0,50,0.07,0.03,0.5,1001,0.001998001998001998,22.244444444444444
25,300.3000000000019,754,0.05,1,50,0.07,0.03,0.52,755,0.0,16.41304347826087
26,7.2500000000001705,76,0.05,0,50,0.07,0.03,0.5,76,0.0,1.6888888888888889
27,-0.6499999999994941,194,0.05,0,50,0.07,0.03,0.48148148148148145,194,0.010309278350515464,4.311111111111111
28,217.64999999999998,67,0.05,1,50,0.07,0.03,0.5,68,0.0,9.714285714285714
29,217.04999999999998,79,0.05,1,50,0.07,0.03,0.5172413793103449,80,0.0,11.428571428571429
30,335.50000000000006,50,0.05,1,50,0.07,0.03,0.5333333333333333,51,0.0,1.108695652173913
31,215.74999999999997,105,0.05,1,50,0.07,0.03,0.5483870967741935,106,0.0,15.142857142857142
32,264.70000000000016,66,0.05,1,50,0.07,0.03,0.5625,67,0.014925373134328358,2.576923076923077
33,269.4000000000003,132,0.05,1,50,0.07,0.03,0.5757575757575758,133,0.015037593984962405,4.15625
34,-49.74999999999898,376,0.05,0,50,0.07,0.03,0.5588235294117647,376,0.015957446808510637,8.355555555555556
35,219.24999999999997,35,0.05,1,50,0.07,0.03,0.5714285714285714,36,0.0,5.142857142857143
36,334.0000000000001,80,0.05,1,50,0.07,0.03,0.5833333333333334,81,0.0,1.7608695652173914
37,335.6,48,0.05,1,50,0.07,0.03,0.5945945945945946,49,0.0,1.065217391304348
38,-12.549999999999272,272,0.05,0,50,0.07,0.03,0.5789473684210527,272,0.003676470588235294,6.044444444444444
39,353.04999999999967,79,0.05,1,50,0.07,0.03,0.5897435897435898,80,0.0625,1.1594202898550725
40,-12.899999999999537,179,0.05,0,50,0.07,0.03,0.575,179,0.0,3.977777777777778
41,-9.650000000000233,653,0.05,1,50,0.07,0.03,0.5853658536585366,654,0.05045871559633028,12.823529411764707
42,219.34999999999997,33,0.05,1,50,0.07,0.03,0.5952380952380952,34,0.0,4.857142857142857
43,219.84999999999997,23,0.05,1,50,0.07,0.03,0.6046511627906976,24,0.0,3.4285714285714284
44,-27.599999999999838,73,0.05,0,50,0.07,0.03,0.5909090909090909,73,0.0273972602739726,1.6222222222222222
45,-59.10000000000059,102,0.05,1,50,0.07,0.03,0.6,103,0.33980582524271846,3.21875
46,217.85,63,0.05,1,50,0.07,0.03,0.6086956521739131,64,0.0,9.142857142857142
47,319.85000000000014,63,0.05,1,50,0.07,0.03,0.6170212765957447,64,0.046875,1.2549019607843137
48,266.40000000000003,32,0.05,1,50,0.07,0.03,0.625,33,0.030303030303030304,1.2692307692307692
49,-50.24999999999993,66,0.05,0,50,0.07,0.03,0.6122448979591837,66,0.015151515151515152,1.5714285714285714
50,220.8,104,0.05,1,50,0.07,0.03,0.62,105,0.09523809523809523,2.5
51,-75.25000000000142,445,0.05,1,50,0.07,0.03,0.6274509803921569,446,0.07623318385650224,15.379310344827585
52,256.5,30,0.05,1,50,0.07,0.03,0.6346153846153846,31,0.06451612903225806,1.1923076923076923
53,214.84999999999997,123,0.05,1,50,0.07,0.03,0.6415094339622641,124,0.0,17.714285714285715
54,264.8000000000001,64,0.05,1,50,0.07,0.03,0.6481481481481481,65,0.015384615384615385,2.5
55,-111.75,56,0.05,0,50,0.07,0.03,0.6363636363636364,56,0.0,2.0
56,283.6000000000001,48,0.05,1,50,0.07,0.03,0.6428571428571429,49,0.02040816326530612,1.53125
57,321.8500000000007,263,0.05,1,50,0.07,0.03,0.6491228070175439,264,0.0,5.866666666666666
58,287.9000000000001,42,0.05,1,50,0.07,0.03,0.6551724137931034,43,0.0,1.4333333333333333
59,267.55,29,0.05,1,50,0.07,0.03,0.6610169491525424,30,0.0,1.3043478260869565
60,-44.89999999999976,99,0.05,0,50,0.07,0.03,0.65,99,0.0,4.304347826086956
