episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio,loss
1,-77.85000000000001,58,1.0,0,50,0.1,0.05,0.0,58,0.0,1.2340425531914894,0.0
2,-115.15,4,1.0,0,50,0.1,0.05,0.0,4,0.0,0.3076923076923077,0.0
3,-145.95,20,0.9626763096456342,0,50,0.1,0.05,0.0,20,0.05,1.5384615384615385,0.0
4,-126.45,30,0.9065599378797955,0,50,0.1,0.05,0.0,30,0.0,0.6382978723404256,0.0
5,-200,194,0.6147825512055906,0,50,0.1,0.05,0.0,194,0.06701030927835051,9.7,0.0
6,-187.69999999999982,155,0.4507704437659491,0,50,0.1,0.05,0.0,155,0.03225806451612903,7.75,0.0
7,450.9500000000007,281,0.2568251403530489,1,50,0.1,0.05,0.14285714285714285,282,0.01773049645390071,21.692307692307693,0.0
8,-80.2,5,0.25426714142965906,0,50,0.1,0.05,0.125,5,0.0,0.125,0.0
9,-85.14999999999998,204,0.1690132150493836,0,50,0.1,0.05,0.1111111111111111,204,0.0,4.340425531914893,0.0
10,-200,173,0.11953753774066514,0,50,0.1,0.05,0.1,173,0.09248554913294797,4.435897435897436,13.97329330444336
11,572.2000000000004,156,0.08747193759927811,1,50,0.1,0.05,0.18181818181818182,157,0.03821656050955414,3.925,0.0
12,529.1000000000001,218,0.056536217278312866,1,50,0.1,0.05,0.25,219,0.0182648401826484,10.95,0.0
13,522.65,47,0.05145910018813773,1,50,0.1,0.05,0.3076923076923077,48,0.041666666666666664,3.6923076923076925,0.0
14,-70.5,11,0.050338253330972624,0,50,0.1,0.05,0.2857142857142857,11,0.0,0.23404255319148937,0.0
15,55.000000000000824,300,0.05,0,50,0.1,0.05,0.26666666666666666,301,0.009966777408637873,7.525,3905.39306640625
16,-200,300,0.05,0,50,0.1,0.05,0.25,301,0.059800664451827246,15.05,0.0
17,565.6500000000002,187,0.05,1,50,0.1,0.05,0.29411764705882354,188,0.010638297872340425,9.894736842105264,0.0
18,-92.29999999999998,47,0.05,0,50,0.1,0.05,0.2777777777777778,47,0.1276595744680851,1.236842105263158,0.0
19,-71.10000000000001,23,0.05,0,50,0.1,0.05,0.2631578947368421,23,0.0,0.48936170212765956,0.0
20,-54.999999999999986,300,0.05,0,50,0.1,0.05,0.25,301,0.03322259136212625,7.921052631578948,7816.88671875
21,710.1499999999993,97,0.05,1,50,0.1,0.05,0.2857142857142857,98,0.01020408163265306,2.0851063829787235,0.0
22,572.2500000000001,55,0.05,1,50,0.1,0.05,0.3181818181818182,56,0.03571428571428571,2.9473684210526314,0.0
23,14.999999999999925,300,0.05,0,50,0.1,0.05,0.30434782608695654,301,0.0,33.44444444444444,0.0
24,673.399999999999,132,0.05,1,50,0.1,0.05,0.3333333333333333,133,0.007518796992481203,3.325,0.0
25,597.4000000000001,52,0.05,1,50,0.1,0.05,0.36,53,0.09433962264150944,1.325,30.748004913330078
26,488.7500000000001,125,0.05,1,50,0.1,0.05,0.38461538461538464,126,0.047619047619047616,6.631578947368421,0.0
27,-84.99999999999949,300,0.05,0,50,0.1,0.05,0.37037037037037035,301,0.03322259136212625,6.404255319148936,0.0
28,587.4000000000007,252,0.05,1,50,0.1,0.05,0.39285714285714285,253,0.019762845849802372,6.325,0.0
29,-95.20000000000003,105,0.05,0,50,0.1,0.05,0.3793103448275862,105,0.0,11.666666666666666,0.0
30,804.5999999999992,108,0.05,1,50,0.1,0.05,0.4,109,0.0,1.7580645161290323,3969.717041015625
31,732.5499999999997,49,0.05,1,50,0.1,0.05,0.41935483870967744,50,0.0,1.0638297872340425,0.0
32,537.6999999999999,46,0.05,1,50,0.1,0.05,0.4375,47,0.0,5.875,0.0
33,24.999999999999837,300,0.05,0,50,0.1,0.05,0.42424242424242425,301,0.0,33.44444444444444,0.0
34,640.8499999999997,83,0.05,1,50,0.1,0.05,0.4411764705882353,84,0.023809523809523808,2.27027027027027,0.0
35,589.0500000000003,119,0.05,1,50,0.1,0.05,0.45714285714285713,120,0.008333333333333333,6.315789473684211,3844.808837890625
36,115.00000000000038,300,0.05,0,50,0.1,0.05,0.4444444444444444,301,0.006644518272425249,8.135135135135135,0.0
37,655.8,84,0.05,1,50,0.1,0.05,0.4594594594594595,85,0.023529411764705882,2.125,0.0
38,784.4999999999991,110,0.05,1,50,0.1,0.05,0.47368421052631576,111,0.009009009009009009,1.7903225806451613,0.0
39,517.6,48,0.05,1,50,0.1,0.05,0.48717948717948717,49,0.02040816326530612,6.125,0.0
40,432.55000000000035,249,0.05,1,50,0.1,0.05,0.5,250,0.024,19.23076923076923,3768.185546875
41,641.45,71,0.05,1,50,0.1,0.05,0.5121951219512195,72,0.0,2.4827586206896552,0.0
42,144.99999999999693,300,0.05,0,50,0.1,0.05,0.5,301,0.0,7.525,0.0
43,623.45,31,0.05,1,50,0.1,0.05,0.5116279069767442,32,0.03125,1.103448275862069,0.0
44,95.00000000000077,300,0.05,0,50,0.1,0.05,0.5,301,0.0,10.379310344827585,0.0
45,680.4000000000003,192,0.05,1,50,0.1,0.05,0.5111111111111111,193,0.0,5.078947368421052,3791.055419921875
46,28.00000000000003,41,0.05,0,50,0.1,0.05,0.5,41,0.04878048780487805,0.5189873417721519,0.0
47,614.8500000000004,203,0.05,1,50,0.1,0.05,0.5106382978723404,204,0.004901960784313725,7.0344827586206895,0.0
48,-5.000000000000109,300,0.05,0,50,0.1,0.05,0.5,301,0.0,33.44444444444444,0.0
49,14.999999999999854,300,0.05,0,50,0.1,0.05,0.4897959183673469,301,0.0,33.44444444444444,0.0
50,75.00000000000081,300,0.05,0,50,0.1,0.05,0.48,301,0.013289036544850499,7.921052631578948,32.72063446044922
51,806.4999999999995,70,0.05,1,50,0.1,0.05,0.49019607843137253,71,0.0,1.1451612903225807,0.0
52,144.9999999999986,300,0.05,0,50,0.1,0.05,0.4807692307692308,301,0.0033222591362126247,7.921052631578948,0.0
53,537.2,56,0.05,1,50,0.1,0.05,0.49056603773584906,57,0.0,7.125,0.0
54,154.999999999997,300,0.05,0,50,0.1,0.05,0.48148148148148145,301,0.009966777408637873,6.142857142857143,0.0
55,619.1000000000006,218,0.05,1,50,0.1,0.05,0.4909090909090909,219,0.0136986301369863,5.7631578947368425,22.849821090698242
56,-24.99999999999951,300,0.05,0,50,0.1,0.05,0.48214285714285715,301,0.019933554817275746,10.379310344827585,0.0
57,648.2,36,0.05,1,50,0.1,0.05,0.49122807017543857,37,0.0,1.2333333333333334,0.0
58,384.99999999999693,300,0.05,0,50,0.1,0.05,0.4827586206896552,301,0.0,3.5,0.0
59,679.9499999999992,101,0.05,1,50,0.1,0.05,0.4915254237288136,102,0.0,2.7567567567567566,0.0
60,690.4499999999994,91,0.05,1,50,0.1,0.05,0.5,92,0.0,2.358974358974359,22.767091751098633
61,720.249999999997,295,0.05,1,50,0.1,0.05,0.5081967213114754,296,0.0,6.297872340425532,0.0
62,736.7499999999986,165,0.05,1,50,0.1,0.05,0.5161290322580645,166,0.024096385542168676,2.721311475409836,0.0
63,661.25,75,0.05,1,50,0.1,0.05,0.5238095238095238,76,0.013157894736842105,2.054054054054054,0.0
64,174.99999999999704,300,0.05,0,50,0.1,0.05,0.515625,301,0.006644518272425249,6.142857142857143,0.0
65,688.0499999999988,139,0.05,1,50,0.1,0.05,0.5230769230769231,140,0.0,3.58974358974359,23.0781192779541
66,71.84999999999962,64,0.05,0,50,0.1,0.05,0.5151515151515151,64,0.015625,0.810126582278481,0.0
67,204.999999999997,300,0.05,0,50,0.1,0.05,0.5074626865671642,301,0.009966777408637873,4.934426229508197,0.0
68,538.5,30,0.05,1,50,0.1,0.05,0.5147058823529411,31,0.0,3.875,0.0
69,214.99999999999696,300,0.05,0,50,0.1,0.05,0.5072463768115942,301,0.013289036544850499,4.934426229508197,0.0
70,641.2500000000001,75,0.05,1,50,0.1,0.05,0.5142857142857142,76,0.0,2.6206896551724137,3565.89794921875
71,573.95,21,0.05,1,50,0.1,0.05,0.5211267605633803,22,0.09090909090909091,1.1578947368421053,0.0
72,384.999999999997,300,0.05,0,50,0.1,0.05,0.5138888888888888,301,0.0,3.5,0.0
