x,y
2,44
3,44
4,44
4,43
5,43
5,42
6,42
7,42
8,42
9,42
10,42
11,42
11,41
12,41
13,41
14,41
14,40
15,40
16,40
17,40
18,40
19,40
19,39
19,38
19,37
19,36
20,36
21,36
21,35
21,34
21,33
21,32
20,32
20,31
20,30
21,30
21,29
21,28
21,27
21,26
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
20,24
20,23
20,22
20,21
19,21
19,20
19,19
19,18
19,17
18,17
18,16
18,15
18,14
19,14
20,14
20,13
20,12
20,11
21,11
21,10
22,10
22,9
22,10
22,9
22,10
22,9
23,9
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,10
22,9
22,8
21,8
22,8
21,8
22,8
21,8
22,8
21,8
22,8
21,8
22,8
21,8
22,8
21,8
22,8
21,8
21,7
21,6
22,6
22,7
